更新时间,#genre#
CCTV-4,http://116.135.5.103:8082/rtp/226.0.2.21:8080$1920x1080
CCTV-4,http://123.113.237.160:8888/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://121.24.98.154:8090/hls/12/index.m3u8
CCTV-4,http://[2409:8087:1a01:df::4029]/TVOD/88888888/224/3221226092/main.m3u8
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-4,http://123.113.237.160:8888/rtp/239.3.1.214:4220$1920x1080
CCTV-4,http://58.57.21.166:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000503
CCTV-4,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002173/index.m3u8
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226007/index.m3u8
CCTV-4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8
CCTV-5,http://171.213.131.154:4022/rtp/239.93.42.37:5140$1920x1080
CCTV-5,http://221.237.92.253:9999/rtp/239.93.42.37:5140$1920x1080
CCTV-5,http://171.213.130.23:8088/rtp/239.93.42.37:5140$1920x1080
CCTV-5,http://222.211.162.32:1880/rtp/239.93.42.37:5140$1920x1080
CCTV-5,http://223.10.39.207:8083/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://223.10.115.195:8083/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://171.117.3.37:8083/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://116.135.5.103:8082/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://171.117.3.37:8083/rtp/226.0.2.22:8088$1920x1080
CCTV-5,http://116.135.5.103:8082/rtp/226.0.2.22:8088$1920x1080
CCTV-5,http://[2409:8087:74d9:21::6]/270000001128/9900000005/index.m3u8
CCTV-5,http://58.48.37.158:1111/tsfile/live/0005_1.m3u8
CCTV-5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226146/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV-5,http://123.182.60.29:9002/hls/7/index.m3u8
CCTV-5+,http://171.213.131.154:4022/rtp/239.93.1.36:8004$1920x1080
CCTV-5+,http://221.237.92.253:9999/rtp/239.93.1.36:8004$1920x1080
CCTV-5+,http://171.213.130.23:8088/rtp/239.93.1.36:8004$1920x1080
CCTV-5+,http://222.211.162.32:1880/rtp/239.93.1.36:8004$1920x1080
CCTV-5+,http://223.10.39.207:8083/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://223.10.115.195:8083/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://171.117.3.37:8083/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://116.135.5.103:8082/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://113.248.167.107:9999/rtp/235.254.198.122:1764$1920x1080
CCTV-5+,http://125.80.154.251:8003/rtp/235.254.198.122:1764$1920x1080
CCTV-5+,http://221.0.78.198:1681/hls/10217/index.m3u8
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020505/1.m3u8
CCTV-5+,http://[2409:8087:1a01:df::4003]/TVOD/88888888/224/3221225507/main.m3u8
CCTV-5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/1.m3u8
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/index.m3u8
CCTV-5+,http://39.98.201.151:9090/udp/225.1.8.20:8004
CCTV-5+,http://121.24.98.232:8090/hls/5/index.m3u8
CCTV-5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV-5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225603/2.m3u8
CCTV-6,http://171.213.131.154:4022/rtp/239.93.1.13:2226$1920x1080
CCTV-6,http://221.237.92.253:9999/rtp/239.93.1.13:2226$1920x1080
CCTV-6,http://171.213.130.23:8088/rtp/239.93.1.13:2226$1920x1080
CCTV-6,http://222.211.162.32:1880/rtp/239.93.1.13:2226$1920x1080
CCTV-6,http://223.10.39.207:8083/rtp/239.1.1.13:8013$1920x1080
CCTV-6,http://223.10.115.195:8083/rtp/239.1.1.13:8013$1920x1080
CCTV-6,http://171.117.3.37:8083/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://116.135.5.103:8082/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://171.117.3.37:8083/rtp/226.0.2.23:8096$1920x1080
CCTV-6,http://116.135.5.103:8082/rtp/226.0.2.23:8096$1920x1080
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV-6,http://121.24.98.232:8090/hls/14/index.m3u8
CCTV-6,http://[2409:8087:1a01:df::4009]/TVOD/88888888/224/3221225814/main.m3u8
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000016466/1.m3u8
CCTV-6,http://210.22.75.86:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6,http://110.177.146.171:888/rtp/239.1.1.13:8013$1920x1080
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV-6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-6,http://116.117.105.198:8096/tsfile/live/0006_1.m3u8
CCTV-6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://171.213.131.154:4022/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://221.237.92.253:9999/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://171.213.130.23:8088/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://222.211.162.32:1880/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://223.10.39.207:8083/rtp/239.1.1.14:8014$1920x1080
CCTV-7,http://223.10.115.195:8083/rtp/239.1.1.14:8014$1920x1080
CCTV-7,http://171.117.3.37:8083/rtp/226.0.2.159:9184$1920x1080
CCTV-7,http://116.135.5.103:8082/rtp/226.0.2.159:9184$1920x1080
CCTV-7,http://171.117.3.37:8083/rtp/226.0.2.24:8104$1920x1080
CCTV-7,http://116.135.5.103:8082/rtp/226.0.2.24:8104$1920x1080
CCTV-7,http://58.57.21.166:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV-7,http://115.230.191.3:9999/udp/233.50.200.24:5140$1920x1080
CCTV-7,http://123.113.237.160:8888/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://1732e975z9.zicp.fun:8082/hls/8/index.m3u8
CCTV-7,http://110.177.146.171:888/udp/239.1.1.14:8014$1920x1080
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/1.m3u8
CCTV-7,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265007/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=no$1920x1080
CCTV-7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
